time,open,high,low,close,Equity,Exposure
2020-06-06T23:00:00+08:00,9650.59,9666.59,9583.93,9614.66,9385.921282,1.2
2020-06-07T02:00:00+08:00,9614.95,9720,9606,9700.52,9486.241824,1.2
2020-06-07T05:00:00+08:00,9701,9729.74,9633.7,9666.3,9446.258491,1.2
2020-06-07T08:00:00+08:00,9666.85,9701.61,9624,9684.23,9467.208262,1.2
2020-06-07T11:00:00+08:00,9685.56,9717,9650,9671.33,9452.135644,1.2
2020-06-07T14:00:00+08:00,9671.33,9682,9555,9661.31,9440.428075,1.2
2020-06-07T17:00:00+08:00,9661.32,9675,9562.78,9575.59,9340.271113,1.2
2020-06-07T20:00:00+08:00,9576.57,9602.9,9372.46,9454.43,9198.705346,1.2
2020-06-07T23:00:00+08:00,9454.98,9506.74,9452.66,9498.02,9249.636774,1.2
2020-06-08T02:00:00+08:00,9498.08,9802,9490.49,9730.08,9520.780319,1.2
2020-06-08T05:00:00+08:00,9730.04,9785.19,9692,9746.99,9540.538301,1.2
2020-06-08T08:00:00+08:00,9746.99,9779.99,9698.06,9718.7,9507.483699,1.2
2020-06-08T11:00:00+08:00,9719,9760,9699.28,9751.48,9545.784507,1.2
2020-06-08T14:00:00+08:00,9751.48,9756,9633,9689.99,9473.938361,1.2
2020-06-08T17:00:00+08:00,9689.99,9800,9685.03,9742.69,9535.514095,1.2
2020-06-08T20:00:00+08:00,9742.68,9751.78,9651,9671,9451.750065,1.2
2020-06-08T23:00:00+08:00,9671,9746,9661,9720.81,9509.949065,1.2
2020-06-09T02:00:00+08:00,9721.56,9733.73,9680.79,9701.69,9487.608875,1.2
